output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260120_074203\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,20.673660278320312,0.5652571431103821,8.04852580413517,0.623661458492279,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,17.727853775024414,0.6524720276355928,8.879527415769463,0.49070170521736145,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,19.80182456970215,0.6149705703441678,8.344074468336625,0.5531487464904785,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,17.727853775024414,0.6524720276355928,8.879527415769463,0.49070170521736145,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,19.80182456970215,0.6149705703441678,8.344074468336625,0.5531487464904785,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,17.677343368530273,0.6462168545309028,8.812164319122042,0.48339083790779114,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,19.80182456970215,0.6149705703441678,8.344074468336625,0.5531487464904785,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,17.677343368530273,0.6462168545309028,8.812164319122042,0.48339083790779114,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,18.61980628967285,0.6271459760931547,8.591343947994202,0.5195991396903992,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,17.677343368530273,0.6462168545309028,8.812164319122042,0.48339083790779114,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan,18.61980628967285,0.6271459760931547,8.591343947994202,0.5195991396903992,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan,17.10403823852539,0.6607837614172151,9.222654670227332,0.46126341819763184,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan,18.61980628967285,0.6271459760931547,8.591343947994202,0.5195991396903992,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan,17.10403823852539,0.6607837614172151,9.222654670227332,0.46126341819763184,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan,18.223363876342773,0.6114795592312822,8.417072094897488,0.523229718208313,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan,17.10403823852539,0.6607837614172151,9.222654670227332,0.46126341819763184,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan,18.223363876342773,0.6114795592312822,8.417072094897488,0.523229718208313,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan,21.601478576660156,0.5200574748670426,7.300883972065472,0.662505030632019,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan,18.223363876342773,0.6114795592312822,8.417072094897488,0.523229718208313,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\07_seed40493.png,01/07/2025,2025-01-07,40493,A,handwriting_gan,pytorch_handwriting_gan,21.601478576660156,0.5200574748670426,7.300883972065472,0.662505030632019,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\07_seed40494.png,01/07/2025,2025-01-07,40494,A,handwriting_gan,pytorch_handwriting_gan,21.270980834960938,0.57498625436998,7.669610413706578,0.6251108646392822,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\08_seed40493.png,01/08/2025,2025-01-08,40493,A,handwriting_gan,pytorch_handwriting_gan,21.601478576660156,0.5200574748670426,7.300883972065472,0.662505030632019,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\08_seed40494.png,01/08/2025,2025-01-08,40494,A,handwriting_gan,pytorch_handwriting_gan,21.270980834960938,0.57498625436998,7.669610413706578,0.6251108646392822,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\08_seed40495.png,01/08/2025,2025-01-08,40495,A,handwriting_gan,pytorch_handwriting_gan,17.646345138549805,0.6405428497037123,8.79887342719098,0.48467886447906494,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\09_seed40494.png,01/09/2025,2025-01-09,40494,A,handwriting_gan,pytorch_handwriting_gan,21.270980834960938,0.57498625436998,7.669610413706578,0.6251108646392822,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\09_seed40495.png,01/09/2025,2025-01-09,40495,A,handwriting_gan,pytorch_handwriting_gan,17.646345138549805,0.6405428497037123,8.79887342719098,0.48467886447906494,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\09_seed40496.png,01/09/2025,2025-01-09,40496,A,handwriting_gan,pytorch_handwriting_gan,18.151376724243164,0.6432216467941803,8.753873880694252,0.5057346820831299,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\10_seed40495.png,01/10/2025,2025-01-10,40495,A,handwriting_gan,pytorch_handwriting_gan,17.646345138549805,0.6405428497037123,8.79887342719098,0.48467886447906494,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\10_seed40496.png,01/10/2025,2025-01-10,40496,A,handwriting_gan,pytorch_handwriting_gan,18.151376724243164,0.6432216467941803,8.753873880694252,0.5057346820831299,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
