output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,left_margin,right_margin,top_margin,bottom_margin,baseline_ratio,height_ratio,width_ratio,stroke_thickness,max_z,layout_ok
stress_runs\20260120_080751\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,0.13671875,0.109375,0.625,0.0,0.9609375,0.375,0.75390625,31.0,45.5,True
stress_runs\20260120_080751\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,0.09765625,0.0,0.5859375,0.0,0.84375,0.4140625,0.90234375,19.0,15.499999046325684,True
stress_runs\20260120_080751\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,0.140625,0.0625,0.515625,0.0,0.7265625,0.484375,0.796875,30.0,43.0,True
stress_runs\20260120_080751\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,0.11328125,0.0,0.75,0.0,0.9921875,0.25,0.88671875,19.5,16.75,True
stress_runs\20260120_080751\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,0.17578125,0.06640625,0.75,0.0,0.9609375,0.25,0.7578125,37.0,60.5,False
stress_runs\20260120_080751\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,0.10546875,0.0,0.0625,0.1484375,0.1796875,0.7890625,0.89453125,18.0,14.84375,True
stress_runs\20260120_080751\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,0.17578125,0.06640625,0.75,0.0,0.9609375,0.25,0.7578125,37.0,60.5,False
stress_runs\20260120_080751\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,0.10546875,0.0,0.0625,0.1484375,0.1796875,0.7890625,0.89453125,18.0,14.84375,True
stress_runs\20260120_080751\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,0.109375,0.0,0.6953125,0.0,0.9453125,0.3046875,0.890625,21.0,20.5,True
stress_runs\20260120_080751\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,0.10546875,0.0,0.0625,0.1484375,0.1796875,0.7890625,0.89453125,18.0,14.84375,True
stress_runs\20260120_080751\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan,0.109375,0.0,0.6953125,0.0,0.9453125,0.3046875,0.890625,21.0,20.5,True
stress_runs\20260120_080751\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan,0.0859375,0.0,0.15625,0.140625,0.2578125,0.703125,0.9140625,16.0,14.0625,True
stress_runs\20260120_080751\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan,0.109375,0.0,0.6953125,0.0,0.9453125,0.3046875,0.890625,21.0,20.5,True
stress_runs\20260120_080751\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan,0.0859375,0.0,0.15625,0.140625,0.2578125,0.703125,0.9140625,16.0,14.0625,True
stress_runs\20260120_080751\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan,0.1171875,0.0,0.625,0.0,0.8828125,0.375,0.8828125,20.0,18.0,True
stress_runs\20260120_080751\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan,0.0859375,0.0,0.15625,0.140625,0.2578125,0.703125,0.9140625,16.0,14.0625,True
stress_runs\20260120_080751\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan,0.1171875,0.0,0.6171875,0.0,0.875,0.3828125,0.8828125,20.0,18.0,True
stress_runs\20260120_080751\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan,0.17578125,0.0,0.453125,0.0,0.8671875,0.546875,0.82421875,31.0,45.5,True
stress_runs\20260120_080751\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan,0.1171875,0.0,0.625,0.0,0.8828125,0.375,0.8828125,20.0,18.0,True
stress_runs\20260120_080751\images\2025\01\07_seed40493.png,01/07/2025,2025-01-07,40493,A,handwriting_gan,pytorch_handwriting_gan,0.17578125,0.0,0.5078125,0.0,0.921875,0.4921875,0.82421875,32.0,48.0,True
stress_runs\20260120_080751\images\2025\01\07_seed40494.png,01/07/2025,2025-01-07,40494,A,handwriting_gan,pytorch_handwriting_gan,0.2109375,0.0,0.7265625,0.0,0.9453125,0.2734375,0.7890625,37.0,60.5,False
stress_runs\20260120_080751\images\2025\01\08_seed40493.png,01/08/2025,2025-01-08,40493,A,handwriting_gan,pytorch_handwriting_gan,0.17578125,0.0,0.453125,0.0,0.8671875,0.546875,0.82421875,31.0,45.5,True
stress_runs\20260120_080751\images\2025\01\08_seed40494.png,01/08/2025,2025-01-08,40494,A,handwriting_gan,pytorch_handwriting_gan,0.2109375,0.0,0.7265625,0.0,0.9453125,0.2734375,0.7890625,37.0,60.5,False
stress_runs\20260120_080751\images\2025\01\08_seed40495.png,01/08/2025,2025-01-08,40495,A,handwriting_gan,pytorch_handwriting_gan,0.08203125,0.0,0.0859375,0.1484375,0.1953125,0.765625,0.91796875,18.0,14.84375,True
