output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,laplacian_var,checkerboard_score,touches_border,artifact_ok
stress_runs\20260120_084446\images\2025\01\01_seed40486.png,01/01/2025,2025-01-01,40486,A,handwriting_gan,pytorch_handwriting_gan,6472.249260382218,0.1100350022315979,False,True
stress_runs\20260120_084446\images\2025\01\01_seed40487.png,01/01/2025,2025-01-01,40487,A,handwriting_gan,pytorch_handwriting_gan,6058.652151760397,0.10761261731386185,False,True
stress_runs\20260120_084446\images\2025\01\01_seed40488.png,01/01/2025,2025-01-01,40488,A,handwriting_gan,pytorch_handwriting_gan,4999.440063445036,0.10517792403697968,False,True
stress_runs\20260120_084446\images\2025\01\02_seed40487.png,01/02/2025,2025-01-02,40487,A,handwriting_gan,pytorch_handwriting_gan,6182.260337901702,0.10821741074323654,False,True
stress_runs\20260120_084446\images\2025\01\02_seed40488.png,01/02/2025,2025-01-02,40488,A,handwriting_gan,pytorch_handwriting_gan,5166.4699761808415,0.10562558472156525,False,True
stress_runs\20260120_084446\images\2025\01\02_seed40489.png,01/02/2025,2025-01-02,40489,A,handwriting_gan,pytorch_handwriting_gan,6355.272928855278,0.10589488595724106,False,True
stress_runs\20260120_084446\images\2025\01\03_seed40488.png,01/03/2025,2025-01-03,40488,A,handwriting_gan,pytorch_handwriting_gan,5094.828601900211,0.10759419202804565,False,True
stress_runs\20260120_084446\images\2025\01\03_seed40489.png,01/03/2025,2025-01-03,40489,A,handwriting_gan,pytorch_handwriting_gan,6261.044039227619,0.10724439471960068,False,True
stress_runs\20260120_084446\images\2025\01\03_seed40490.png,01/03/2025,2025-01-03,40490,A,handwriting_gan,pytorch_handwriting_gan,5429.58404241032,0.10335895419120789,False,True
stress_runs\20260120_084446\images\2025\01\04_seed40489.png,01/04/2025,2025-01-04,40489,A,handwriting_gan,pytorch_handwriting_gan,6299.7591323127235,0.1070142388343811,False,True
stress_runs\20260120_084446\images\2025\01\04_seed40490.png,01/04/2025,2025-01-04,40490,A,handwriting_gan,pytorch_handwriting_gan,5409.715496214667,0.10317813605070114,False,True
stress_runs\20260120_084446\images\2025\01\04_seed40491.png,01/04/2025,2025-01-04,40491,A,handwriting_gan,pytorch_handwriting_gan,5400.407389322917,0.10802707821130753,False,True
stress_runs\20260120_084446\images\2025\01\05_seed40490.png,01/05/2025,2025-01-05,40490,A,handwriting_gan,pytorch_handwriting_gan,5378.109178279883,0.10291014611721039,False,True
stress_runs\20260120_084446\images\2025\01\05_seed40491.png,01/05/2025,2025-01-05,40491,A,handwriting_gan,pytorch_handwriting_gan,5373.875,0.10899771004915237,False,True
stress_runs\20260120_084446\images\2025\01\05_seed40492.png,01/05/2025,2025-01-05,40492,A,handwriting_gan,pytorch_handwriting_gan,6065.6898306934945,0.10623446851968765,False,True
stress_runs\20260120_084446\images\2025\01\06_seed40491.png,01/06/2025,2025-01-06,40491,A,handwriting_gan,pytorch_handwriting_gan,5534.84814453125,0.11060769855976105,False,True
stress_runs\20260120_084446\images\2025\01\06_seed40492.png,01/06/2025,2025-01-06,40492,A,handwriting_gan,pytorch_handwriting_gan,6204.163166291322,0.10778895020484924,False,True
stress_runs\20260120_084446\images\2025\01\06_seed40493.png,01/06/2025,2025-01-06,40493,A,handwriting_gan,pytorch_handwriting_gan,5249.3388650988745,0.11189288645982742,False,True
stress_runs\20260120_084446\images\2025\01\07_seed40492.png,01/07/2025,2025-01-07,40492,A,handwriting_gan,pytorch_handwriting_gan,5955.1266513456685,0.10428152233362198,False,True
